tournament_id,tournament_name,year,stage_name,match_id,match_name,home_team_id,home_team_name,away_team_id,away_team_name,home_team_score_penalties,away_team_score_penalties,score_penalties,match_result,penalty_winner
WC-2010,2010 FIFA Men's World Cup,2010,quarter-finals,M-2010-58,Uruguay vs Ghana,T-84,Uruguay,T-32,Ghana,4,2,4–2,home team win,Uruguay
WC-2011,2011 FIFA Women's World Cup,2011,quarter-final,M-2011-25,England vs France,T-28,England,T-30,France,3,4,3–4,away team win,France
WC-2011,2011 FIFA Women's World Cup,2011,quarter-final,M-2011-28,Brazil vs United States,T-09,Brazil,T-83,United States,3,5,3–5,away team win,United States
WC-2011,2011 FIFA Women's World Cup,2011,final,M-2011-32,Japan vs United States,T-44,Japan,T-83,United States,3,1,3–1,home team win,Japan
WC-2014,2014 FIFA Men's World Cup,2014,round of 16,M-2014-49,Brazil vs Chile,T-09,Brazil,T-13,Chile,3,2,3–2,home team win,Brazil
WC-2014,2014 FIFA Men's World Cup,2014,round of 16,M-2014-52,Costa Rica vs Greece,T-17,Costa Rica,T-33,Greece,5,3,5–3,home team win,Costa Rica
WC-2014,2014 FIFA Men's World Cup,2014,quarter-finals,M-2014-60,Netherlands vs Costa Rica,T-48,Netherlands,T-17,Costa Rica,4,3,4–3,home team win,Netherlands
WC-2014,2014 FIFA Men's World Cup,2014,semi-finals,M-2014-62,Netherlands vs Argentina,T-48,Netherlands,T-03,Argentina,2,4,2–4,away team win,Argentina
WC-2015,2015 FIFA Women's World Cup,2015,quarter-final,M-2015-45,Germany vs France,T-31,Germany,T-30,France,5,4,5–4,home team win,Germany
WC-2018,2018 FIFA Men's World Cup,2018,round of 16,M-2018-51,Spain vs Russia,T-73,Spain,T-62,Russia,3,4,3–4,away team win,Russia
WC-2018,2018 FIFA Men's World Cup,2018,round of 16,M-2018-52,Croatia vs Denmark,T-18,Croatia,T-22,Denmark,3,2,3–2,home team win,Croatia
WC-2018,2018 FIFA Men's World Cup,2018,round of 16,M-2018-56,Colombia vs England,T-16,Colombia,T-28,England,3,4,3–4,away team win,England
WC-2018,2018 FIFA Men's World Cup,2018,quarter-finals,M-2018-60,Russia vs Croatia,T-62,Russia,T-18,Croatia,3,4,3–4,away team win,Croatia
WC-2019,2019 FIFA Women's World Cup,2019,round of 16,M-2019-38,Norway vs Australia,T-53,Norway,T-04,Australia,4,1,4–1,home team win,Norway
WC-2022,2022 FIFA Men's World Cup,2022,round of 16,M-2022-53,Japan vs Croatia,T-44,Japan,T-18,Croatia,1,3,1–3,away team win,Croatia
WC-2022,2022 FIFA Men's World Cup,2022,round of 16,M-2022-55,Morocco vs Spain,T-47,Morocco,T-73,Spain,3,0,3–0,home team win,Morocco
WC-2022,2022 FIFA Men's World Cup,2022,quarter-finals,M-2022-57,Croatia vs Brazil,T-18,Croatia,T-09,Brazil,4,2,4–2,home team win,Croatia
WC-2022,2022 FIFA Men's World Cup,2022,quarter-finals,M-2022-58,Netherlands vs Argentina,T-48,Netherlands,T-03,Argentina,3,4,3–4,away team win,Argentina
WC-2022,2022 FIFA Men's World Cup,2022,final,M-2022-64,Argentina vs France,T-03,Argentina,T-30,France,4,2,4–2,home team win,Argentina
