key_id,player_id,family_name,given_name,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link,tournament_id,tournament_name,year,start_date,host_country,age_at_tournament,total_goals,penalty,own_goal,matches_played,matches_started,matches_as_substitute,positions_played,team_id,played,wins,draws,losses,goals_for,goals_against,goal_difference,points,position,win_rate,avg_goals_per_match,avg_conceded_per_match
11,P-07698,Abbé,Caroline,1988-01-13,1,0,1,0,0,1,2015,https://en.wikipedia.org/wiki/Caroline_Abb%C3%A9,WC-2015,2015 FIFA Women's World Cup,2015,2015-06-06,Canada,27.0,0.0,0.0,0.0,3.0,3.0,0.0,center back,T-75,3.0,1.0,0.0,2.0,11.0,4.0,7.0,3.0,3.0,0.3333333333333333,3.6666666666666665,1.3333333333333333
12,P-02042,Abbes,Claude,1927-05-24,0,1,0,0,0,2,"1954, 1958",https://en.wikipedia.org/wiki/Claude_Abbes,WC-1954,1954 FIFA Men's World Cup,1954,1954-06-16,Switzerland,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-30,2.0,1.0,0.0,1.0,3.0,3.0,0.0,2.0,3.0,0.5,1.5,1.5
13,P-81393,Abbiati,Christian,1977-07-08,0,1,0,0,0,1,2002,https://en.wikipedia.org/wiki/Christian_Abbiati,WC-2002,2002 FIFA Men's World Cup,2002,2002-05-31,"Korea, Japan",24.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-41,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,2.0,0.3333333333333333,1.3333333333333333,1.0
14,P-86290,Abbondanzieri,Roberto,1972-08-19,0,1,0,0,0,1,2006,https://en.wikipedia.org/wiki/Roberto_Abbondanzieri,WC-2006,2006 FIFA Men's World Cup,2006,2006-06-09,Germany,33.0,0.0,0.0,0.0,5.0,5.0,0.0,goal keeper,T-03,3.0,2.0,1.0,0.0,8.0,1.0,7.0,7.0,1.0,0.6666666666666666,2.6666666666666665,0.3333333333333333
15,P-29132,Abd Al-Jawad,Mohamed,1962-11-28,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Mohamed_Abd_Al-Jawad,WC-1994,1994 FIFA Men's World Cup,1994,1994-06-17,United States,31.0,0.0,0.0,0.0,4.0,4.0,0.0,"defender, left back",T-63,3.0,2.0,0.0,1.0,4.0,3.0,1.0,6.0,2.0,0.6666666666666666,1.3333333333333333,1.0
16,P-26446,Abdel Rahman,Adel,1967-12-11,0,0,0,0,1,1,1990,https://en.wikipedia.org/wiki/Adel_Abdel_Rahman,WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,22.0,0.0,0.0,0.0,2.0,0.0,2.0,forward,T-26,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666
17,P-29161,Abdel Shafy,Mohamed,1985-07-01,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Mohamed_Abdel_Shafy,WC-2018,2018 FIFA Men's World Cup,2018,2018-06-14,Russia,32.0,0.0,0.0,0.0,3.0,3.0,0.0,left back,T-26,3.0,0.0,0.0,3.0,2.0,6.0,-4.0,0.0,4.0,0.0,0.6666666666666666,2.0
18,P-73679,Abdel-Hamid,Gamal,1957-11-24,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Gamal_Abdel-Hamid,WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,32.0,0.0,0.0,0.0,3.0,2.0,1.0,"forward, midfielder",T-26,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666
19,P-62193,Abdelghani,Magdi,1959-07-27,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Magdi_Abdelghani,WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,30.0,1.0,1.0,0.0,3.0,3.0,0.0,midfielder,T-26,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666
20,P-61342,Abdellah,Nacer,1966-03-03,0,0,1,0,0,1,1994,https://en.wikipedia.org/wiki/Nacer_Abdellah,WC-1994,1994 FIFA Men's World Cup,1994,1994-06-17,United States,28.0,0.0,0.0,0.0,2.0,2.0,0.0,defender,T-47,3.0,0.0,0.0,3.0,2.0,5.0,-3.0,0.0,4.0,0.0,0.6666666666666666,1.6666666666666667
21,P-64924,Abdi,Ali,1993-12-20,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Ali_Abdi_(footballer),WC-2022,2022 FIFA Men's World Cup,2022,2022-11-20,Qatar,28.0,0.0,0.0,0.0,3.0,2.0,1.0,"left midfielder, defender",T-79,3.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
22,P-98081,Abdollahi,Nasrollah,1951-09-02,0,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Nasrollah_Abdollahi,WC-1978,1978 FIFA Men's World Cup,1978,1978-06-01,Argentina,26.0,0.0,0.0,0.0,3.0,3.0,0.0,defender,T-38,3.0,0.0,1.0,2.0,2.0,8.0,-6.0,1.0,4.0,0.0,0.6666666666666666,2.6666666666666665
23,P-94880,Abdoun,Djamel,1986-02-14,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Djamel_Abdoun,WC-2010,2010 FIFA Men's World Cup,2010,2010-06-11,South Africa,24.0,0.0,0.0,0.0,1.0,0.0,1.0,midfielder,T-01,3.0,0.0,1.0,2.0,0.0,2.0,-2.0,1.0,4.0,0.0,0.0,0.6666666666666666
24,P-21820,Abdul Samed,Salis,2000-03-26,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Salis_Abdul_Samed,WC-2022,2022 FIFA Men's World Cup,2022,2022-11-20,Qatar,22.0,0.0,0.0,0.0,3.0,3.0,0.0,"center midfielder, defensive midfielder",T-32,3.0,1.0,0.0,2.0,5.0,7.0,-2.0,3.0,4.0,0.3333333333333333,1.6666666666666667,2.3333333333333335
25,P-77199,Abdulghani,Hussein,1977-01-21,0,0,1,0,0,2,"2002, 2006",https://en.wikipedia.org/wiki/Hussein_Sulaimani,WC-2002,2002 FIFA Men's World Cup,2002,2002-05-31,"Korea, Japan",25.0,0.0,0.0,0.0,3.0,3.0,0.0,"left back, left wing back",T-63,3.0,0.0,0.0,3.0,0.0,12.0,-12.0,0.0,4.0,0.0,0.0,4.0
26,P-73110,Abdulghani,Hussein,1977-01-23,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Hussein_Abdulghani,WC-1998,1998 FIFA Men's World Cup,1998,1998-06-10,France,21.0,0.0,0.0,0.0,3.0,3.0,0.0,defender,T-63,3.0,0.0,1.0,2.0,2.0,7.0,-5.0,1.0,4.0,0.0,0.6666666666666666,2.3333333333333335
27,P-08125,Abdulhamid,Saud,1999-07-18,0,0,1,0,0,1,2022,https://en.wikipedia.org/wiki/Saud_Abdulhamid,WC-2022,2022 FIFA Men's World Cup,2022,2022-11-20,Qatar,23.0,0.0,0.0,0.0,3.0,3.0,0.0,"right back, left midfielder",T-63,3.0,1.0,0.0,2.0,3.0,5.0,-2.0,3.0,4.0,0.3333333333333333,1.0,1.6666666666666667
28,P-03048,Abdullah,Majed,1959-11-01,0,0,0,0,1,1,1994,https://en.wikipedia.org/wiki/Majed_Abdullah,WC-1994,1994 FIFA Men's World Cup,1994,1994-06-17,United States,34.0,0.0,0.0,0.0,2.0,2.0,0.0,forward,T-63,3.0,2.0,0.0,1.0,4.0,3.0,1.0,6.0,2.0,0.6666666666666666,1.3333333333333333,1.0
29,P-75724,Abdullahi,Shehu,1993-03-12,0,0,1,0,0,1,2018,https://en.wikipedia.org/wiki/Shehu_Abdullahi,WC-2018,2018 FIFA Men's World Cup,2018,2018-06-14,Russia,25.0,0.0,0.0,0.0,1.0,1.0,0.0,right back,T-50,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,3.0,0.3333333333333333,1.0,1.3333333333333333
30,P-53430,Abdulrahman,Fahad,1962-10-10,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Fahad_Abdulrahman,WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-82,3.0,0.0,0.0,3.0,2.0,11.0,-9.0,0.0,4.0,0.0,0.6666666666666666,3.6666666666666665
31,P-00148,Abe,Yuki,1981-09-06,0,0,0,1,0,1,2010,https://en.wikipedia.org/wiki/Yuki_Abe,WC-2010,2010 FIFA Men's World Cup,2010,2010-06-11,South Africa,28.0,0.0,0.0,0.0,4.0,4.0,0.0,defensive midfielder,T-44,3.0,2.0,0.0,1.0,4.0,2.0,2.0,6.0,2.0,0.6666666666666666,1.3333333333333333,0.6666666666666666
32,P-56772,Abedzadeh,Ahmad Reza,1966-05-25,0,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Ahmad_Reza_Abedzadeh,WC-1998,1998 FIFA Men's World Cup,1998,1998-06-10,France,32.0,0.0,0.0,0.0,2.0,2.0,0.0,goal keeper,T-38,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,3.0,0.3333333333333333,0.6666666666666666,1.3333333333333333
33,P-80505,Abedzadeh,Amir,1993-04-26,0,1,0,0,0,2,"2018, 2022",https://en.wikipedia.org/wiki/Amir_Abedzadeh,WC-2018,2018 FIFA Men's World Cup,2018,2018-06-14,Russia,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-38,3.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,3.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
34,P-02805,Abega,Théophile,1954-07-09,0,0,0,1,0,1,1982,https://en.wikipedia.org/wiki/Th%C3%A9ophile_Abega,WC-1982,1982 FIFA Men's World Cup,1982,1982-06-13,Spain,27.0,0.0,0.0,0.0,3.0,3.0,0.0,"forward, midfielder",T-11,3.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333
35,P-85334,Abegglen,André,1909-03-07,0,0,0,0,1,2,"1934, 1938",https://en.wikipedia.org/wiki/Andr%C3%A9_Abegglen,WC-1934,1934 FIFA Men's World Cup,1934,1934-05-27,Italy,25.0,1.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
36,P-99390,Abel,not applicable,1952-09-01,0,0,1,0,0,1,1978,https://en.wikipedia.org/wiki/Abel_Braga,WC-1978,1978 FIFA Men's World Cup,1978,1978-06-01,Argentina,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-09,6.0,3.0,3.0,0.0,8.0,2.0,6.0,9.0,2.0,0.5,1.3333333333333333,0.3333333333333333
37,P-24945,Abelardo,not applicable,1970-03-19,0,0,1,0,0,2,"1994, 1998",https://en.wikipedia.org/wiki/Abelardo_Fern%C3%A1ndez,WC-1994,1994 FIFA Men's World Cup,1994,1994-06-17,United States,24.0,0.0,0.0,0.0,5.0,5.0,0.0,"center back, defender",T-73,3.0,1.0,2.0,0.0,6.0,4.0,2.0,5.0,2.0,0.3333333333333333,2.0,1.3333333333333333
38,P-32023,Abeledo,Ramón,1937-04-29,0,0,0,1,0,1,1962,https://en.wikipedia.org/wiki/Ram%C3%B3n_Abeledo,WC-1962,1962 FIFA Men's World Cup,1962,1962-05-30,Chile,25.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-03,3.0,1.0,1.0,1.0,2.0,3.0,-1.0,3.0,3.0,0.3333333333333333,0.6666666666666666,1.0
39,P-58512,Abena,Ninon,1994-09-05,1,0,0,1,0,2,"2015, 2019",https://en.wikipedia.org/wiki/Ninon_Abena,WC-2015,2015 FIFA Women's World Cup,2015,2015-06-06,Canada,20.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-11,3.0,2.0,0.0,1.0,9.0,3.0,6.0,6.0,2.0,0.6666666666666666,3.0,1.0
40,P-96775,Abeso,Natalia,1986-09-05,1,0,0,1,0,1,2011,https://en.wikipedia.org/wiki/Natalia_Abeso,WC-2011,2011 FIFA Women's World Cup,2011,2011-06-26,Germany,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-29,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,0.0,4.0,0.0,0.6666666666666666,2.3333333333333335
41,P-00685,Abid,Anad,1955-08-03,0,0,0,0,1,1,1986,https://en.wikipedia.org/wiki/Anad_Abid,WC-1986,1986 FIFA Men's World Cup,1986,1986-05-31,Mexico,30.0,0.0,0.0,0.0,1.0,1.0,0.0,midfielder,T-39,3.0,0.0,0.0,3.0,1.0,4.0,-3.0,0.0,4.0,0.0,0.3333333333333333,1.3333333333333333
42,P-04469,Abidal,Eric,1979-09-11,0,0,1,0,0,2,"2006, 2010",https://en.wikipedia.org/wiki/Eric_Abidal,WC-2006,2006 FIFA Men's World Cup,2006,2006-06-09,Germany,26.0,0.0,0.0,0.0,6.0,6.0,0.0,left back,T-30,3.0,1.0,2.0,0.0,3.0,1.0,2.0,5.0,2.0,0.3333333333333333,1.0,0.3333333333333333
43,P-72635,Abily,Camille,1984-12-05,1,0,0,1,0,2,"2011, 2015",https://en.wikipedia.org/wiki/Camille_Abily,WC-2011,2011 FIFA Women's World Cup,2011,2011-06-26,Germany,26.0,1.0,0.0,0.0,6.0,5.0,1.0,"center midfielder, right winger, midfielder",T-30,3.0,2.0,0.0,1.0,7.0,4.0,3.0,6.0,2.0,0.6666666666666666,2.3333333333333335,1.3333333333333333
44,P-98382,Ablanedo,Juan Carlos,1963-09-02,0,1,0,0,0,2,"1986, 1990",https://en.wikipedia.org/wiki/Juan_Carlos_Ablanedo,WC-1986,1986 FIFA Men's World Cup,1986,1986-05-31,Mexico,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-73,3.0,2.0,0.0,1.0,5.0,2.0,3.0,4.0,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666
45,P-22858,Abonyi,Attila,1946-08-16,0,0,0,0,1,1,1974,https://en.wikipedia.org/wiki/Attila_Abonyi,WC-1974,1974 FIFA Men's World Cup,1974,1974-06-13,West Germany,27.0,0.0,0.0,0.0,2.0,1.0,1.0,midfielder,T-04,3.0,0.0,1.0,2.0,0.0,5.0,-5.0,1.0,4.0,0.0,0.0,1.6666666666666667
46,P-53452,Aboubakar,Vincent,1992-01-22,0,0,0,0,1,3,"2010, 2014, 2022",https://en.wikipedia.org/wiki/Vincent_Aboubakar,WC-2010,2010 FIFA Men's World Cup,2010,2010-06-11,South Africa,18.0,0.0,0.0,0.0,2.0,0.0,2.0,forward,T-11,3.0,0.0,0.0,3.0,2.0,5.0,-3.0,0.0,4.0,0.0,0.6666666666666666,1.6666666666666667
47,P-48295,Aboukhlal,Zakaria,2000-02-18,0,0,0,1,0,1,2022,https://en.wikipedia.org/wiki/Zakaria_Aboukhlal,WC-2022,2022 FIFA Men's World Cup,2022,2022-11-20,Qatar,22.0,1.0,0.0,0.0,4.0,0.0,4.0,midfielder,T-47,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333
48,P-62807,Abouzeid,Taher,1962-04-10,0,0,0,1,0,1,1990,https://en.wikipedia.org/wiki/Taher_Abouzeid,WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,28.0,0.0,0.0,0.0,1.0,0.0,1.0,forward,T-26,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666
49,P-04266,Abrahamsson,Henock,1909-10-29,0,1,0,0,0,1,1938,https://en.wikipedia.org/wiki/Henock_Abrahamsson,WC-1938,1938 FIFA Men's World Cup,1938,1938-06-04,France,28.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0.0
50,P-64134,Abramczik,Rüdiger,1956-02-18,0,0,0,0,1,1,1978,https://en.wikipedia.org/wiki/R%C3%BCdiger_Abramczik,WC-1978,1978 FIFA Men's World Cup,1978,1978-06-01,Argentina,22.0,1.0,0.0,0.0,3.0,3.0,0.0,forward,T-86,6.0,1.0,4.0,1.0,10.0,5.0,5.0,6.0,2.0,0.16666666666666666,1.6666666666666667,0.8333333333333334
51,P-51300,Abrami,Lahcen,1969-12-31,0,0,1,0,0,1,1998,https://en.wikipedia.org/wiki/Lahcen_Abrami,WC-1998,1998 FIFA Men's World Cup,1998,1998-06-10,France,28.0,0.0,0.0,0.0,2.0,1.0,1.0,"defender, left back",T-47,3.0,1.0,1.0,1.0,5.0,5.0,0.0,4.0,3.0,0.3333333333333333,1.6666666666666667,1.6666666666666667
52,P-91786,Abreu,Marco,1974-12-08,0,0,1,0,0,1,2006,https://en.wikipedia.org/wiki/Marco_Abreu,WC-2006,2006 FIFA Men's World Cup,2006,2006-06-09,Germany,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-02,3.0,0.0,2.0,1.0,1.0,2.0,-1.0,2.0,3.0,0.0,0.3333333333333333,0.6666666666666666
53,P-64372,Abreu,Sebastián,1976-10-17,0,0,0,0,1,2,"2002, 2010",https://en.wikipedia.org/wiki/Sebasti%C3%A1n_Abreu,WC-2002,2002 FIFA Men's World Cup,2002,2002-05-31,"Korea, Japan",25.0,0.0,0.0,0.0,3.0,3.0,0.0,center forward,T-84,3.0,0.0,2.0,1.0,4.0,5.0,-1.0,2.0,3.0,0.0,1.3333333333333333,1.6666666666666667
54,P-95918,Aby,Jessica,1998-06-16,1,0,0,1,0,1,2015,https://en.wikipedia.org/wiki/Jessica_Aby,WC-2015,2015 FIFA Women's World Cup,2015,2015-06-06,Canada,16.0,0.0,0.0,0.0,1.0,0.0,1.0,midfielder,T-42,3.0,0.0,0.0,3.0,3.0,16.0,-13.0,0.0,4.0,0.0,1.0,5.333333333333333
55,P-12036,Acácio,not applicable,1959-01-20,0,1,0,0,0,1,1990,https://en.wikipedia.org/wiki/Ac%C3%A1cio_(footballer),WC-1990,1990 FIFA Men's World Cup,1990,1990-06-08,Italy,31.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-09,3.0,3.0,0.0,0.0,4.0,1.0,3.0,6.0,1.0,1.0,1.3333333333333333,0.3333333333333333
56,P-13103,Acasuzo,Eusebio,1952-04-08,0,1,0,0,0,1,1982,https://en.wikipedia.org/wiki/Eusebio_Acasuzo,WC-1982,1982 FIFA Men's World Cup,1982,1982-06-13,Spain,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-56,3.0,0.0,2.0,1.0,2.0,6.0,-4.0,2.0,4.0,0.0,0.6666666666666666,2.0
57,P-17067,Aceros,Germán,1938-09-30,0,0,0,0,1,1,1962,https://en.wikipedia.org/wiki/Germ%C3%A1n_Aceros,WC-1962,1962 FIFA Men's World Cup,1962,1962-05-30,Chile,23.0,1.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-16,3.0,0.0,1.0,2.0,5.0,11.0,-6.0,1.0,4.0,0.0,1.6666666666666667,3.6666666666666665
58,P-75402,Aceval,Danilo,1975-09-15,0,1,0,0,0,1,1998,https://en.wikipedia.org/wiki/Danilo_Aceval,WC-1998,1998 FIFA Men's World Cup,1998,1998-06-10,France,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-55,3.0,1.0,2.0,0.0,3.0,1.0,2.0,5.0,2.0,0.3333333333333333,1.0,0.3333333333333333
59,P-81409,Acevedo,David,1937-02-20,0,0,1,0,0,1,1958,https://en.wikipedia.org/wiki/David_Acevedo,WC-1958,1958 FIFA Men's World Cup,1958,1958-06-08,Sweden,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-03,3.0,1.0,0.0,2.0,5.0,10.0,-5.0,2.0,4.0,0.3333333333333333,1.6666666666666667,3.3333333333333335
60,P-48167,Acevedo,Eduardo Mario,1959-09-25,0,0,1,0,0,1,1986,https://en.wikipedia.org/wiki/Eduardo_Mario_Acevedo,WC-1986,1986 FIFA Men's World Cup,1986,1986-05-31,Mexico,26.0,0.0,0.0,0.0,4.0,4.0,0.0,defender,T-84,3.0,0.0,2.0,1.0,2.0,7.0,-5.0,2.0,3.0,0.0,0.6666666666666666,2.3333333333333335
61,P-28429,Acevedo,Elmer,1946-02-24,0,0,0,0,1,1,1970,https://en.wikipedia.org/wiki/Elmer_Acevedo,WC-1970,1970 FIFA Men's World Cup,1970,1970-05-31,Mexico,24.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-27,3.0,0.0,0.0,3.0,0.0,9.0,-9.0,0.0,4.0,0.0,0.0,3.0
62,P-01989,Achá,Alberto,1917-02-18,0,0,1,0,0,1,1950,https://en.wikipedia.org/wiki/Alberto_Ach%C3%A1,WC-1950,1950 FIFA Men's World Cup,1950,1950-06-24,Brazil,33.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-07,1.0,0.0,0.0,1.0,0.0,8.0,-8.0,0.0,2.0,0.0,0.0,8.0
63,P-29870,Achilier,Gabriel,1985-03-24,0,0,1,0,0,1,2014,https://en.wikipedia.org/wiki/Gabriel_Achilier,WC-2014,2014 FIFA Men's World Cup,2014,2014-06-12,Brazil,29.0,0.0,0.0,0.0,2.0,0.0,2.0,defender,T-25,3.0,1.0,1.0,1.0,3.0,3.0,0.0,4.0,3.0,0.3333333333333333,1.0,1.0
64,P-17442,Achúcarro,Ignacio,1936-07-31,0,0,1,0,0,1,1958,https://en.wikipedia.org/wiki/Ignacio_Ach%C3%BAcarro,WC-1958,1958 FIFA Men's World Cup,1958,1958-06-08,Sweden,21.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,T-55,3.0,1.0,1.0,1.0,9.0,12.0,-3.0,3.0,3.0,0.3333333333333333,3.0,4.0
65,P-67954,Aćimović,Jovan,1948-06-21,0,0,0,1,0,1,1974,https://en.wikipedia.org/wiki/Jovan_A%C4%87imovi%C4%87,WC-1974,1974 FIFA Men's World Cup,1974,1974-06-13,West Germany,25.0,0.0,0.0,0.0,6.0,6.0,0.0,"center midfielder, midfielder",T-87,6.0,1.0,2.0,3.0,12.0,7.0,5.0,4.0,1.0,0.16666666666666666,2.0,1.1666666666666667
66,P-44943,Ačimovič,Milenko,1977-02-15,0,0,0,0,1,1,2002,https://en.wikipedia.org/wiki/Milenko_A%C4%8Dimovi%C4%8D,WC-2002,2002 FIFA Men's World Cup,2002,2002-05-31,"Korea, Japan",25.0,1.0,0.0,0.0,3.0,2.0,1.0,"midfielder, attacking midfielder",T-69,3.0,0.0,0.0,3.0,2.0,7.0,-5.0,0.0,4.0,0.0,0.6666666666666666,2.3333333333333335
67,P-65320,Acosta,Jhonny,1983-07-21,0,0,1,0,0,2,"2014, 2018",https://en.wikipedia.org/wiki/Jhonny_Acosta,WC-2014,2014 FIFA Men's World Cup,2014,2014-06-12,Brazil,30.0,0.0,0.0,0.0,2.0,1.0,1.0,"defender, center back",T-17,3.0,2.0,1.0,0.0,4.0,1.0,3.0,7.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333
